"","uniprot_id","source_file","target_name","dfam_id","e_value","score","strand","start_aa","end_aa","source","name","repeat_type_name","repeat_subtype_name","ensembl_gene_id_version"
"49","A0A0A0MSU8","ENST00000427847","ENST00000427847.6","DF000001180",1.4e-12,57.4,"+",1,14,"api",NA,NA,NA,"ENSG00000095794.21"
"50","A0A0A0MT67","ENST00000529533","ENST00000529533.6","DF000000976",3.8e-21,86.1,"-",1,14,"api","MIRc","SINE","MIR","ENSG00000169550.14"
"51","A0A0A0MTD6","ENST00000527569","ENST00000527569.1","DF000000976",3.8e-21,86.1,"-",1,14,"api","MIRc","SINE","MIR","ENSG00000169550.14"
"52","A0A0A6YYI5","ENST00000426568","ENST00000426568.5","DF000000877",3.5e-17,72.8,"-",1,20,"api",NA,NA,NA,"ENSG00000144560.16"
"53","A0A0B4J1V9","ENST00000394036","ENST00000394036.6","DF000000303",4.5e-25,97.2,"-",443,488,"api","L1ME4a","LINE","L1","ENSG00000119969.17"
"54","A0A0B4J1W7","ENST00000427999","ENST00000427999.7","DF000000008",6.8e-23,86.5,"+",1,21,"api","L1M5_orf2","LINE","L1","ENSG00000233024.7"
"55","A0A0B4J230","ENST00000468425","ENST00000468425.2","DF000000302",8.3e-17,69.6,"-",61,75,"api","L1ME3","LINE","L1","ENSG00000130770.19"
"56","A0A0B4J233","ENST00000542370","ENST00000542370.1","DF000000358",4.3e-18,70.5,"-",85,97,"api","L2","LINE","L2","ENSG00000139194.9"
"57","A0A0B4J2C9","ENST00000621478","ENST00000621478.1","DF000000911",2e-11,51.9,"-",1,21,"api","MER68","LTR","ERVL","ENSG00000160209.20"
"58","A0A0B4J2F6","ENST00000553201","ENST00000553201.1","DF000000008",7.2e-23,86.5,"-",1,21,"api","L1M5_orf2","LINE","L1","ENSG00000254852.10"
"59","A0A0C4DG77","ENST00000420927","ENST00000420927.5","DF000000359",1.3e-19,79.7,"-",553,580,"api","L2a","LINE","L2","ENSG00000168038.12"
"60","A0A0D9SF23","ENST00000625670","ENST00000625670.2","DF000000975",1.2e-16,71.1,"+",97,112,"api","MIRb","SINE","MIR","ENSG00000028277.23"
"61","A0A0D9SF55","ENST00000475996","ENST00000475996.1","DF000000737",6.2e-33,124.1,"+",50,71,"api","MER20","DNA","hAT-Charlie","ENSG00000204642.15"
"62","A0A0D9SFP6","ENST00000626019","ENST00000626019.2","DF000000008",4e-159,538.6,"+",737,750,"api","L1M5_orf2","LINE","L1","ENSG00000140538.18"
"63","A0A0D9SFT8","ENST00000628752","ENST00000628752.2","DF000001128",5e-63,222.6,"-",190,220,"api","MLT1E1A","LTR","ERVL-MaLR","ENSG00000198646.15"
"64","A0A0G2JL29","ENST00000549990","ENST00000549990.1","DF000000269",4.9e-66,232.2,"-",1,10,"api","L1MB3","LINE","L1","ENSG00000183484.13"
"65","A0A0R4J2E9","ENST00000369963","ENST00000369963.5","DF000000303",1.3e-43,158.6,"+",104,140,"api","L1ME4a","LINE","L1","ENSG00000112706.12"
"66","A0A0S2Z4L3","ENST00000650591","ENST00000650591.1","DF000000001",3.3e-14,63.2,"-",550,580,"api","MIR","SINE","MIR","ENSG00000184500.17"
"67","A0A0S2Z507","ENST00000861880","ENST00000861880.1","DF000000052",2.1e-70,247.1,"-",17,47,"api","AluS","SINE","Alu","ENSG00000166167.19"
"68","A0A0S2Z5A8","ENST00000899880","ENST00000899880.1","DF000000047",7.5e-98,337.4,"+",27,61,"api","AluS","SINE","Alu","ENSG00000240344.11"
"69","A0A0S2Z5G4","ENST00000854721","ENST00000854721.1","DF000001004",4.9e-68,239.1,"-",396,417,"api","MLT1D","LTR","ERVL-MaLR","ENSG00000172530.23"
"70","A0A0S2Z5Z2","ENST00000537529","ENST00000537529.7","DF000000540",1.2e-22,88,"-",200,212,"api","LTR5","LTR","ERVK","ENSG00000011143.20"
"71","A0A0U1RQK3","ENST00000476323","ENST00000476323.5","DF000000007",4.6e-24,94.7,"+",22,37,"api","AluJ","SINE","Alu","ENSG00000256053.10"
"72","A0A0U1RQL5","ENST00000465026","ENST00000465026.1","DF000000010",5.7e-21,80.6,"-",24,37,"api","L1MC4","LINE","L1","ENSG00000251503.8"
"73","A0A0U1RR64","ENST00000634762","ENST00000634762.1","DF000000468",0,1587.2,"-",91,107,"api","LTR25-int","LTR","ERV1","ENSG00000169519.22"
"74","A0A158VUY4","ENST00000911248","ENST00000911248.1","DF000000359",1.3e-14,63.2,"+",193,219,"api","L2a","LINE","L2","ENSG00000186567.15"
"75","A0A161SXE1","ENST00000677447","ENST00000677447.1","DF000000036",4.9e-72,252.4,"+",158,172,"api","AluJ","SINE","Alu","ENSG00000104408.12"
"76","A0A1B0GTC7","ENST00000637422","ENST00000637422.1","DF000001023",3.2e-65,230.1,"-",23,34,"api","MLT1L","LTR","ERVL-MaLR","ENSG00000182621.19"
"77","A0A1B0GTG8","ENST00000636757","ENST00000636757.1","DF000000925",5.7e-71,249,"-",1,13,"api","MER74A","LTR","ERVL","ENSG00000261341.7"
"78","A0A1B0GTH7","ENST00000637315","ENST00000637315.1","DF000001221",1.7e-75,263.8,"+",1,15,"api","MLT1C2","LTR","ERVL-MaLR","ENSG00000096093.17"
"79","A0A1B0GTN4","ENST00000637795","ENST00000637795.2","DF000001147",1.7e-19,79.7,"+",721,734,"api",NA,NA,NA,"ENSG00000198010.13"
"80","A0A1B0GTN5","ENST00000441412","ENST00000441412.3","DF000000489",1.8e-31,118.8,"+",56,83,"api","LTR33","LTR","ERVL","ENSG00000237524.11"
"81","A0A1B0GTR0","ENST00000649256","ENST00000649256.2","DF000000360",2.9e-30,115.3,"+",53,69,"api","L2b","LINE","L2","ENSG00000267710.9"
"82","A0A1B0GTV6","ENST00000637089","ENST00000637089.1","DF000000036",1.1e-34,129.6,"-",618,631,"api","AluJ","SINE","Alu","ENSG00000096093.17"
"83","A0A1B0GU06","ENST00000636537","ENST00000636537.1","DF000000296",1.9e-39,144.4,"+",162,191,"api","L1ME3","LINE","L1","ENSG00000104763.21"
"84","A0A1B0GU26","ENST00000637001","ENST00000637001.1","DF000000303",2.9e-26,101.2,"-",456,481,"api","L1ME4a","LINE","L1","ENSG00000140718.23"
"85","A0A1B0GU57","ENST00000637289","ENST00000637289.1","DF000000271",1.1e-24,94,"-",182,203,"api","L1MB4","LINE","L1","ENSG00000173809.18"
"86","A0A1B0GU95","ENST00000636106","ENST00000636106.1","DF000000878",3.6e-16,70.2,"-",75,95,"api","MER5B","DNA","hAT-Charlie","ENSG00000113638.15"
"87","A0A1B0GUC9","ENST00000636439","ENST00000636439.1","DF000000489",1.8e-31,118.8,"+",42,51,"api","LTR33","LTR","ERVL","ENSG00000237524.11"
"88","A0A1B0GUP2","ENST00000636457","ENST00000636457.1","DF000000489",1.8e-31,118.8,"+",188,198,"api","LTR33","LTR","ERVL","ENSG00000237524.11"
"89","A0A1B0GUZ5","ENST00000636817","ENST00000636817.1","DF000000836",2.6e-97,333.5,"+",35,46,"api","Tigger2","DNA","TcMar-Tigger","ENSG00000186184.21"
"90","A0A1B0GVA3","ENST00000637872","ENST00000637872.1","DF000000296",1.9e-39,144.4,"+",81,110,"api","L1ME3","LINE","L1","ENSG00000104763.21"
"91","A0A1B0GVB0","ENST00000637353","ENST00000637353.1","DF000001135",2.4e-23,87.5,"-",618,641,"api","Plat_L3","LINE","CR1","ENSG00000096093.17"
"92","A0A1B0GVJ1","ENST00000637561","ENST00000637561.1","DF000000296",1.9e-39,144.4,"+",146,175,"api","L1ME3","LINE","L1","ENSG00000104763.21"
"93","A0A1B0GVW2","ENST00000635827","ENST00000635827.1","DF000000274",1.9e-132,451.9,"+",408,442,"api","L1MB8","LINE","L1","ENSG00000116641.19"
"94","A0A1B0GW77","ENST00000636879","ENST00000636879.1","DF000000143",2.8e-21,86.3,"+",174,187,"api","FLAM_A","SINE","Alu","ENSG00000164904.19"
"95","A0A1B0GW94","ENST00000635838","ENST00000635838.1","DF000001215",2.8e-14,62.4,"+",59,70,"api","L2d","LINE","L2","ENSG00000283208.2"
"96","A0A1B0GWA2","ENST00000637633","ENST00000637633.2","DF003576580",0,1178.1,"+",620,629,"api",NA,NA,NA,"ENSG00000018510.19"
"97","A0A1B0GWD2","ENST00000463725","ENST00000463725.5","DF000000001",5e-20,82.3,"+",39,63,"api","MIR","SINE","MIR","ENSG00000219545.13"
"98","A0A1B0GWE4","ENST00000436605","ENST00000436605.4","DF000000489",1.8e-31,118.8,"+",85,132,"api","LTR33","LTR","ERVL","ENSG00000237524.11"
"99","A0A1B0GWJ7","ENST00000638147","ENST00000638147.2","DF000001215",2.8e-14,62.4,"+",190,201,"api","L2d","LINE","L2","ENSG00000283208.2"
"100","A0A1W2PNY6","ENST00000638371","ENST00000638371.1","DF000000034",1.8e-70,247.2,"+",306,318,"api","AluJ","SINE","Alu","ENSG00000117620.16"
"101","A0A1W2PPH6","ENST00000639840","ENST00000639840.1","DF000001069",0,1049.7,"+",1,13,"api","SVA_C","Retroposon","SVA","ENSG00000178445.11"
"102","A0A1W2PPI0","ENST00000509700","ENST00000509700.2","DF000000604",9.9e-31,116,"-",225,247,"api",NA,NA,NA,"ENSG00000177807.12"
"103","A0A1W2PPP6","ENST00000638482","ENST00000638482.1","DF000000872",2.2e-19,79.9,"+",382,406,"api","MER58A","DNA","hAT-Charlie","ENSG00000109911.20"
"104","A0A1W2PPU1","ENST00000638423","ENST00000638423.1","DF000000365",5.9e-47,165.8,"+",1,20,"api","L4_B_Mam","LINE","RTE-X","ENSG00000161551.16"
"105","A0A1W2PPU6","ENST00000638603","ENST00000638603.1","DF000000036",2.1e-24,95.8,"-",278,291,"api","AluJ","SINE","Alu","ENSG00000138760.12"
"106","A0A1W2PPW0","ENST00000640429","ENST00000640429.1","DF000000365",5.9e-47,165.8,"+",1,14,"api","L4_B_Mam","LINE","RTE-X","ENSG00000161551.16"
"107","A0A1W2PPW3","ENST00000715555","ENST00000715555.1","DF000289998",0,2250.8,"+",1,197,"api","COMP-subunit_TAF11_rnd-6_family-27360","Unknown","","ENSG00000249156.3"
"108","A0A1W2PQ09","ENST00000707170","ENST00000707170.2","DF000289998",0,2300.9,"+",1,198,"api","COMP-subunit_TAF11_rnd-6_family-27360","Unknown","","ENSG00000283740.2"
"109","A0A1W2PQB7","ENST00000640957","ENST00000640957.1","DF000000036",2.1e-24,95.8,"-",318,331,"api","AluJ","SINE","Alu","ENSG00000138760.12"
"110","A0A1W2PQC0","ENST00000639408","ENST00000639408.2","DF000000604",9.9e-31,116,"-",197,207,"api",NA,NA,NA,"ENSG00000177807.12"
"111","A0A1W2PQP7","ENST00000639617","ENST00000639617.1","DF000001070",1.2e-32,120.4,"+",210,348,"api","SVA_D","Retroposon","SVA","ENSG00000175182.16"
"112","A0A1W2PQR6","ENST00000640640","ENST00000640640.1","DF000000036",2.1e-24,95.8,"-",318,331,"api","AluJ","SINE","Alu","ENSG00000138760.12"
"113","A0A1W2PQW5","ENST00000638317","ENST00000638317.1","DF000000358",3.9e-43,153.5,"-",15,27,"api","L2","LINE","L2","ENSG00000109911.20"
"114","A0A1W2PR74","ENST00000639600","ENST00000639600.1","DF000001018",8.1e-48,172.8,"-",715,750,"api","MLT1J","LTR","ERVL-MaLR","ENSG00000197563.12"
"115","A0A1W2PRF6","ENST00000638295","ENST00000638295.1","DF000000036",2.1e-24,95.8,"-",160,173,"api","AluJ","SINE","Alu","ENSG00000138760.12"
"116","A0A1W2PRK2","ENST00000639142","ENST00000639142.2","DF000000271",1.1e-24,94,"-",1106,1127,"api","L1MB4","LINE","L1","ENSG00000173809.18"
"117","A0A1W2PS43","ENST00000639145","ENST00000639145.1","DF000000036",2.1e-24,95.8,"-",315,328,"api","AluJ","SINE","Alu","ENSG00000138760.12"
"118","A0A1W2PS93","ENST00000640533","ENST00000640533.1","DF000000872",2.2e-19,79.9,"+",383,407,"api","MER58A","DNA","hAT-Charlie","ENSG00000109911.20"
"119","A0A1X7SC74","ENST00000539556","ENST00000539556.6","DF000000789",4.8e-18,75.5,"+",252,276,"api",NA,NA,NA,"ENSG00000153789.14"
"120","A0A286YES8","ENST00000641858","ENST00000641858.1","DF000000404",1.1e-211,713.7,"-",49,61,"api","LTR12E","LTR","ERV1","ENSG00000109339.25"
"121","A0A286YEX6","ENST00000641310","ENST00000641310.1","DF000000048",5.5e-87,301.7,"+",49,95,"api","AluS","SINE","Alu","ENSG00000284732.1"
"122","A0A286YF81","ENST00000460595","ENST00000460595.5","DF000001022",2.4e-34,127.9,"-",146,192,"api","MLT1K","LTR","ERVL-MaLR","ENSG00000105443.17"
"123","A0A286YFE3","ENST00000641319","ENST00000641319.1","DF000000045",7.4e-89,307.8,"+",267,301,"api","AluS","SINE","Alu","ENSG00000131238.19"
"124","A0A286YFF7","ENST00000641471","ENST00000641471.1","DF000000144",2.9e-26,102.4,"+",43,70,"api","FLAM_C","SINE","Alu","ENSG00000131238.19"
"125","A0A2P9DTZ0","ENST00000917186","ENST00000917186.1","DF000000347",2.6e-22,87.6,"+",408,434,"api","L1PB1","LINE","L1","ENSG00000111206.14"
"126","A0A2R8Y2F6","ENST00000643187","ENST00000643187.1","DF000000354",9.9e-43,152.5,"-",980,1000,"api","L1PB_orf2","LINE","L1","ENSG00000121879.7"
"127","A0A2R8Y2R1","ENST00000644682","ENST00000644682.1","DF000000045",2.4e-96,332.4,"+",140,175,"api","AluS","SINE","Alu","ENSG00000127990.20"
"128","A0A2R8Y3S6","ENST00000482791","ENST00000482791.2","DF000000154",8.3e-108,369.1,"-",159,193,"api","HAL1","LINE","L1","ENSG00000143376.15"
"129","A0A2R8Y455","ENST00000646357","ENST00000646357.1","DF000000361",1.1e-14,63.9,"-",177,265,"api","L2c","LINE","L2","ENSG00000285382.1"
"130","A0A2R8Y4D3","ENST00000646110","ENST00000646110.1","DF000001141",1.2e-12,54.6,"-",55,72,"api",NA,NA,NA,"ENSG00000185811.22"
"131","A0A2R8Y4M5","ENST00000645458","ENST00000645458.1","DF000000273",1e-124,426.4,"+",715,729,"api","L1MB7","LINE","L1","ENSG00000060718.23"
"132","A0A2R8Y4N5","ENST00000644357","ENST00000644357.2","DF000000010",4.8e-102,349.6,"+",280,318,"api","L1MC4","LINE","L1","ENSG00000168724.19"
"133","A0A2R8Y4P8","ENST00000644551","ENST00000644551.1","DF000000045",2.4e-96,332.4,"+",156,181,"api","AluS","SINE","Alu","ENSG00000127990.20"
"134","A0A2R8Y4Q0","ENST00000642285","ENST00000642285.1","DF000000010",4.8e-102,349.6,"+",293,331,"api","L1MC4","LINE","L1","ENSG00000168724.19"
"135","A0A2R8Y4Q6","ENST00000645288","ENST00000645288.1","DF000000038",3.3e-101,348.5,"-",74,134,"api","AluS","SINE","Alu","ENSG00000156500.17"
"136","A0A2R8Y4Z0","ENST00000646039","ENST00000646039.1","DF000000019",1.1e-52,185.8,"-",791,805,"api","Charlie2a","DNA","hAT-Charlie","ENSG00000065883.19"
"137","A0A2R8Y504","ENST00000647096","ENST00000647096.1","DF000000043",1e-91,317.2,"+",455,480,"api","AluS","SINE","Alu","ENSG00000127990.20"
"138","A0A2R8Y523","ENST00000642508","ENST00000642508.1","DF000000368",1.9e-52,188.4,"-",380,411,"api","LFSINE_Vert","SINE","tRNA","ENSG00000127616.23"
"139","A0A2R8Y524","ENST00000644159","ENST00000644159.1","DF000001025",2.4e-27,105.3,"-",806,879,"api",NA,NA,NA,"ENSG00000109323.12"
"140","A0A2R8Y526","ENST00000643857","ENST00000643857.1","DF000000368",1.9e-52,188.4,"-",711,742,"api","LFSINE_Vert","SINE","tRNA","ENSG00000127616.23"
"141","A0A2R8Y5A6","ENST00000643669","ENST00000643669.2","DF000000294",7.3e-43,155.6,"+",843,852,"api","L1ME2","LINE","L1","ENSG00000204842.19"
"142","A0A2R8Y5B1","ENST00000645247","ENST00000645247.1","DF000001031",1.5e-124,425.6,"-",35,74,"api","MLT2B3","LTR","ERVL","ENSG00000081237.23"
"143","A0A2R8Y5D3","ENST00000646433","ENST00000646433.1","DF000000047",1.5e-97,336.4,"-",309,343,"api","AluS","SINE","Alu","ENSG00000171453.21"
"144","A0A2R8Y5K2","ENST00000644136","ENST00000644136.1","DF000000335",2.1e-234,789.7,"+",365,374,"api","L1PA15","LINE","L1","ENSG00000147894.18"
"145","A0A2R8Y5K3","ENST00000645236","ENST00000645236.1","DF000000368",1.9e-52,188.4,"-",109,140,"api","LFSINE_Vert","SINE","tRNA","ENSG00000127616.23"
"146","A0A2R8Y5L7","ENST00000518395","ENST00000518395.2","DF000000001",7.6e-20,81.7,"-",36,48,"api","MIR","SINE","MIR","ENSG00000234511.12"
"147","A0A2R8Y5M2","ENST00000647351","ENST00000647351.1","DF000000045",2.4e-96,332.4,"+",156,181,"api","AluS","SINE","Alu","ENSG00000127990.20"
"148","A0A2R8Y5Q3","ENST00000647110","ENST00000647110.1","DF000000045",2.4e-96,332.4,"+",121,156,"api","AluS","SINE","Alu","ENSG00000127990.20"
"149","A0A2R8Y5R7","ENST00000646943","ENST00000646943.1","DF000000043",1e-91,317.2,"+",419,442,"api","AluS","SINE","Alu","ENSG00000127990.20"
"150","A0A2R8Y5W7","ENST00000643466","ENST00000643466.2","DF000000505",5.2e-95,328.1,"-",301,361,"api",NA,NA,NA,"ENSG00000160223.19"
"151","A0A2R8Y638","ENST00000644122","ENST00000644122.1","DF000000045",2.4e-96,332.4,"+",156,181,"api","AluS","SINE","Alu","ENSG00000127990.20"
"152","A0A2R8Y645","ENST00000644109","ENST00000644109.1","DF000000042",2e-98,339.3,"-",352,395,"api","AluS","SINE","Alu","ENSG00000215301.12"
"153","A0A2R8Y651","ENST00000644946","ENST00000644946.1","DF000000242",4.5e-21,81.3,"+",370,722,"api",NA,NA,NA,"ENSG00000179855.10"
"154","A0A2R8Y652","ENST00000644116","ENST00000644116.1","DF000000043",1e-91,317.2,"+",410,433,"api","AluS","SINE","Alu","ENSG00000127990.20"
"155","A0A2R8Y663","ENST00000646131","ENST00000646131.1","DF000001022",1.1e-38,142.2,"-",372,396,"api","MLT1K","LTR","ERVL-MaLR","ENSG00000107736.23"
"156","A0A2R8Y682","ENST00000645161","ENST00000645161.1","DF000000007",2.3e-47,171.3,"-",148,171,"api","AluJ","SINE","Alu","ENSG00000126091.22"
"157","A0A2R8Y6B3","ENST00000645963","ENST00000645963.2","DF000001127",8.6e-75,261.4,"+",152,196,"api","MLT1B","LTR","ERVL-MaLR","ENSG00000198860.15"
"158","A0A2R8Y6L4","ENST00000647237","ENST00000647237.1","DF000000878",3.5e-33,125.6,"-",78,123,"api","MER5B","DNA","hAT-Charlie","ENSG00000126091.22"
"159","A0A2R8Y6M1","ENST00000644611","ENST00000644611.1","DF000000877",2e-11,54.1,"+",1,23,"api",NA,NA,NA,"ENSG00000143921.10"
"160","A0A2R8Y6N0","ENST00000642350","ENST00000642350.1","DF000000368",1.9e-52,188.4,"-",754,786,"api","LFSINE_Vert","SINE","tRNA","ENSG00000127616.23"
"161","A0A2R8Y6R5","ENST00000646117","ENST00000646117.1","DF000000702",8.6e-27,104.4,"-",290,315,"api","MER105","DNA","hAT-Charlie","ENSG00000162129.16"
"162","A0A2R8Y6U6","ENST00000645725","ENST00000645725.1","DF000000045",2.4e-96,332.4,"+",156,181,"api","AluS","SINE","Alu","ENSG00000127990.20"
"163","A0A2R8Y6V2","ENST00000643534","ENST00000643534.1","DF000000368",1.9e-52,188.4,"-",688,719,"api","LFSINE_Vert","SINE","tRNA","ENSG00000127616.23"
"164","A0A2R8Y6V7","ENST00000646012","ENST00000646012.1","DF000000007",5e-88,304.9,"-",141,186,"api","AluJ","SINE","Alu","ENSG00000074803.21"
